Date,Open,High,Low,Close,Adj Close,Volume
2022-03-14,16633.699219,16887.949219,16606.500000,16871.300781,16871.300781,314700
2022-03-15,16900.650391,16927.750000,16555.000000,16663.000000,16663.000000,381600
2022-03-16,16876.650391,16987.900391,16837.849609,16975.349609,16975.349609,260000
2022-03-17,17202.900391,17344.599609,17175.750000,17287.050781,17287.050781,448300
2022-03-21,17329.500000,17353.349609,17096.400391,17117.599609,17117.599609,285500
2022-03-22,17120.400391,17334.400391,17006.300781,17315.500000,17315.500000,338300
2022-03-23,17405.050781,17442.400391,17199.599609,17245.650391,17245.650391,292100
2022-03-24,17094.949219,17291.750000,17091.150391,17222.750000,17222.750000,290300
2022-03-25,17289.000000,17294.900391,17076.550781,17153.000000,17153.000000,237100
2022-03-28,17181.849609,17235.099609,17003.900391,17222.000000,17222.000000,253200
2022-03-29,17297.199219,17343.650391,17235.699219,17325.300781,17325.300781,235100
2022-03-30,17468.150391,17522.500000,17387.199219,17498.250000,17498.250000,505000
2022-03-31,17519.199219,17559.800781,17435.199219,17464.750000,17464.750000,281100
2022-04-01,17436.900391,17703.699219,17422.699219,17670.449219,17670.449219,291800
2022-04-04,17809.099609,18114.650391,17791.400391,18053.400391,18053.400391,345500
2022-04-05,18080.599609,18095.449219,17921.550781,17957.400391,17957.400391,283500
2022-04-06,17842.750000,17901.000000,17779.849609,17807.650391,17807.650391,328800
2022-04-07,17723.300781,17787.500000,17623.699219,17639.550781,17639.550781,308800
2022-04-08,17698.150391,17842.750000,17600.550781,17784.349609,17784.349609,274400
2022-04-11,17740.900391,17779.050781,17650.949219,17674.949219,17674.949219,251700
2022-04-12,17584.849609,17595.300781,17442.349609,17530.300781,17530.300781,266000
2022-04-13,17599.900391,17663.650391,17457.400391,17475.650391,17475.650391,245100
2022-04-18,17183.449219,17237.750000,17067.849609,17173.650391,17173.650391,376100
2022-04-19,17258.949219,17275.650391,16824.699219,16958.650391,16958.650391,401400
2022-04-20,17045.250000,17186.900391,16978.949219,17136.550781,17136.550781,286100
2022-04-21,17234.599609,17414.699219,17215.500000,17392.599609,17392.599609,285200
2022-04-22,17242.750000,17315.300781,17149.199219,17171.949219,17171.949219,262700
2022-04-25,17009.050781,17054.300781,16888.699219,16953.949219,16953.949219,275700
2022-04-26,17121.300781,17223.849609,17064.449219,17200.800781,17200.800781,261100
2022-04-27,17073.349609,17110.699219,16958.449219,17038.400391,17038.400391,265100
2022-04-28,17189.500000,17322.500000,17071.050781,17245.050781,17245.050781,312900
2022-04-29,17329.250000,17377.650391,17053.250000,17102.550781,17102.550781,336200
2022-05-02,16924.449219,17092.250000,16917.250000,17069.099609,17069.099609,278200
2022-05-04,17096.599609,17132.849609,16623.949219,16677.599609,16677.599609,310600
2022-05-05,16854.750000,16945.699219,16651.849609,16682.650391,16682.650391,265800
2022-05-06,16415.550781,16484.199219,16340.900391,16411.250000,16411.250000,300500
2022-05-09,16227.700195,16403.699219,16142.099609,16301.849609,16301.849609,288400
2022-05-10,16248.900391,16404.550781,16197.299805,16240.049805,16240.049805,283100
2022-05-11,16270.049805,16318.750000,15992.599609,16167.099609,16167.099609,284300
2022-05-12,16021.099609,16041.950195,15735.750000,15808.000000,15808.000000,314900
2022-05-13,15977.000000,16083.599609,15740.849609,15782.150391,15782.150391,369100
2022-05-16,15845.099609,15977.950195,15739.650391,15842.299805,15842.299805,217600
2022-05-17,15912.599609,16284.250000,15900.799805,16259.299805,16259.299805,295700
2022-05-18,16318.150391,16399.800781,16211.200195,16240.299805,16240.299805,290400
2022-05-19,15917.400391,15984.750000,15775.200195,15809.400391,15809.400391,313900
2022-05-20,16043.799805,16283.049805,16003.849609,16266.150391,16266.150391,252400
2022-05-23,16290.950195,16414.699219,16185.750000,16214.700195,16214.700195,293800
2022-05-24,16225.549805,16262.799805,16078.599609,16125.150391,16125.150391,249800
2022-05-25,16196.349609,16223.349609,16006.950195,16025.799805,16025.799805,243300
2022-05-26,16105.000000,16204.450195,15903.700195,16170.150391,16170.150391,314300
2022-05-27,16296.599609,16370.599609,16221.950195,16352.450195,16352.450195,274100
2022-05-30,16527.900391,16695.500000,16506.150391,16661.400391,16661.400391,251400
2022-05-31,16578.449219,16690.750000,16521.900391,16584.550781,16584.550781,651600
2022-06-01,16594.400391,16649.199219,16438.849609,16522.750000,16522.750000,249600
2022-06-02,16481.650391,16646.400391,16443.050781,16628.000000,16628.000000,236000
2022-06-03,16761.650391,16793.849609,16567.900391,16584.300781,16584.300781,245500
2022-06-06,16530.699219,16610.949219,16444.550781,16569.550781,16569.550781,233600
2022-06-07,16469.599609,16487.250000,16347.099609,16416.349609,16416.349609,233800
2022-06-08,16474.949219,16514.300781,16293.349609,16356.250000,16356.250000,243500
2022-06-09,16263.849609,16492.800781,16243.849609,16478.099609,16478.099609,205000
2022-06-10,16283.950195,16324.700195,16172.599609,16201.799805,16201.799805,189700
2022-06-13,15877.549805,15886.150391,15684.000000,15774.400391,15774.400391,225500
2022-06-14,15674.250000,15858.000000,15659.450195,15732.099609,15732.099609,225400
2022-06-15,15729.250000,15783.650391,15678.900391,15692.150391,15692.150391,183000
2022-06-16,15832.250000,15863.150391,15335.099609,15360.599609,15360.599609,264700
2022-06-17,15272.650391,15400.400391,15183.400391,15293.500000,15293.500000,342600
2022-06-20,15334.500000,15382.500000,15191.099609,15350.150391,15350.150391,260000
2022-06-21,15455.950195,15707.250000,15419.849609,15638.799805,15638.799805,262800
2022-06-22,15545.650391,15565.400391,15385.950195,15413.299805,15413.299805,220900
2022-06-23,15451.549805,15628.450195,15367.500000,15556.650391,15556.650391,259200
2022-06-24,15657.400391,15749.250000,15619.450195,15699.250000,15699.250000,219600
2022-06-27,15926.200195,15927.450195,15815.500000,15832.049805,15832.049805,210900
2022-06-28,15757.450195,15892.099609,15710.150391,15850.200195,15850.200195,251900
2022-06-29,15701.700195,15861.599609,15687.799805,15799.099609,15799.099609,444900
2022-06-30,15774.500000,15890.000000,15728.849609,15780.250000,15780.250000,306000
2022-07-01,15703.700195,15793.950195,15511.049805,15752.049805,15752.049805,364100
2022-07-04,15710.500000,15852.349609,15661.799805,15835.349609,15835.349609,304300
